emotion,source,message_count,word_count,message_length
Compassion,rua,2395,93.82861457153643,493.519818799547
Forgiveness,rua,3170,98.89777387229057,523.9115407147042
Love,rua,3220,94.47697271927251,461.720152537401
Peace,rua,3066,112.48406676783004,642.5529590288315
Respect,rua,2455,125.80288274250097,612.4382547721075
Responsibility,rua,2817,114.32218543046358,616.3288079470199
Understanding,rua,3279,123.6988815600803,683.2256954402064
