"Month","FileCount","TotalSizeMB"
"2024-01","2298","25.97"
"2024-10","2","1.26"
"2025-02","3","752.41"
"2025-04","1","0.63"
"2025-05","1","0"
"2025-06","1630","26.77"
"2025-07","7","0.3"
"2025-08","7507","1728.99"
"2025-09","15073","15126.81"
"2025-10","115473","17256.56"
