persona_id,persona_name,persona_role,backend,turns,injections,injection_rate,avg_affect_delta,avg_tokens,avg_characters
antithesis,Boundary Challenger (E2),Critical reflector,local_ollama,2,0,0.0,0.065,314.5,2241.0
rune,RUNE Analyzer,Resonance,unknown,2,0,0.0,0.0,40.0,265.0
synthesis,Fractal Synthesiser (E2),Integrator,local_ollama,2,0,0.0,0.10499999999999998,352.5,2558.5
thesis,Dialectic Thesis (E2),Seed explorer,local_ollama,2,0,0.0,0.11999999999999997,348.0,2517.5
