video_id,title,duration,subtitles,frames,keywords,analyzed_at,path
dQw4w9WgXcQ,Rick Astley - Never Gonna Give You Up (Official Video) (4K Remaster),213,61,3,"gonna, never, give, tell, make",2025-10-31T04:35:38.461167,outputs/youtube_learner/dQw4w9WgXcQ_analysis.json
kqtD5dpn9C8,Python for Beginners - Learn Coding with Python in 1 Hour,3605,1596,10,"this, that, python, have, going",2025-10-31T03:53:50.483784,outputs/youtube_learner/kqtD5dpn9C8_analysis.json
