timestamp,persona,role,tokens,delta_sec,R,R_smooth,sessionId,source_file
2025-10-12 12:14:35.452420+00:00,기타,unknown,1,30.777838,0.017739045605967403,0.3638809680895874,,d:\nas_backup\outputs\persona_runs\E1\E1_20251012_191158_design-an-empathic-ai-coach-for-creative-writers-e1-baseline_r11.jsonl
2025-10-12 12:14:35.453825+00:00,기타,unknown,1,0.001405,0.5991565283812424,0.36374845386005616,sess_20251012_120408,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:18:49.376783+00:00,기타,unknown,1,253.922958,0.001179134431539013,0.24400459716793335,,d:\nas_backup\outputs\persona_runs\E1\E1_20251012_191158_design-an-empathic-ai-coach-for-creative-writers-e1-baseline_r11.jsonl
2025-10-12 12:18:49.378320+00:00,기타,unknown,1,0.001537,0.5990774056841618,0.36332350808718167,sess_20251012_120408,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:18:49.378856+00:00,기타,unknown,1,0.000536,0.5996779406030107,0.3633660109411843,sess_20251012_120408,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:18:49.379088+00:00,기타,unknown,1,0.000232,0.5998605587891078,0.4797903135778124,,d:\nas_backup\outputs\persona_runs\E1\E1_20251012_191158_design-an-empathic-ai-coach-for-creative-writers-e1-baseline_r11.jsonl
2025-10-12 12:20:35.542705+00:00,기타,unknown,1,106.163617,0.00443077503520871,0.36084516290860563,,d:\nas_backup\outputs\persona_runs\E1\E1_20251012_191158_design-an-empathic-ai-coach-for-creative-writers-e1-baseline_r12.jsonl
2025-10-12 12:20:35.542926+00:00,기타,unknown,1,0.000221,0.5998671687650264,0.4805827697753031,sess_20251012_121851,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:21:00.839045+00:00,기타,unknown,1,25.296119,0.02168275287882577,0.36510383921423595,,d:\nas_backup\outputs\persona_runs\E1\E1_20251012_191158_design-an-empathic-ai-coach-for-creative-writers-e1-baseline_r12.jsonl
2025-10-12 12:21:00.839639+00:00,기타,unknown,1,0.000594,0.5996431115805817,0.36509687340975006,sess_20251012_121851,d:\nas_backup\outputs\resonance_ledger\ledger-20251012.jsonl
2025-10-12 12:24:50.208735+00:00,기타,unknown,1,229.369096,0.0014304911793637815,0.24541085988780126,,d:\nas_backup\outputs\persona_runs\E1\E1_20251012_191158_design-an-empathic-ai-coach-for-creative-writers-e1-baseline_r12.jsonl
