author_role,message_count,total_tokens,avg_tokens_per_message,avg_chars_per_message
assistant,16907,2539889,150.2270657124268,771.4456733897202
user,13963,708464,50.73866647568574,297.31361455274657
tool,2005,767596,382.84089775561097,2144.4254364089775
